,Sensor1,Sensor2,Variable,t value,p value
0,HeatE,HeatD,Temperature,3.0002339815514034,0.002711172129731209
0,HeatE,HeatD,Wind Speed,-32.67316852220387,3.3729639501474365e-212
0,HeatD,HeatC,Temperature,0.7293907701134738,0.4657972008220813
0,HeatD,HeatC,Wind Speed,5.871152992711887,4.610149126224334e-09
0,HeatC,HeatB,Temperature,-1.3242344224224623,0.1854863671761938
0,HeatC,HeatB,Wind Speed,3.8926626715412143,0.00010045473692816457
0,HeatB,HeatA,Temperature,0.8408449326559486,0.4004754260262924
0,HeatB,HeatA,Wind Speed,-1.500613919591207,0.13351922750703515
