,Temperature,Wind Speed
HeatA Confidence Interval,"(17.81214113267346, 18.126065652463858)","(1.246227038990971, 1.3343868543854427)"
HeatB Confidence Interval,"(17.90472689963894, 18.226129320070267)","(1.1971663346979249, 1.287082453670411)"
HeatC Confidence Interval,"(17.754926235060246, 18.071347006653575)","(1.3243037885948932, 1.418622646328308)"
HeatD Confidence Interval,"(17.83814660824381, 18.15457772482005)","(1.5296480419653757, 1.633650260379006)"
HeatE Confidence Interval,"(18.181933946027776, 18.525944841851015)","(0.5680599051948441, 0.6244249432900044)"
